Filename;Category
Vikings.6x17.ITA.1080p.WEB-DLMux-BlackBit.mkv;VIKINGS
Vikings.6x16.ITA.720p.WEB-DLMux.x264-BlackBit.mkv;VIKINGS
The.Witcher.3x08.ITA.ENG.1080p.NF.WEB-DLMux.x264-MeM.mkv;THE WITCHER
The.Witcher.3x07.ITA.ENG.720p.NF.WEB-DLMux-MeM.mkv;THE WITCHER
The.Witcher.3x06.ITA.ENG.1080p.NF.WEB-DLMux.x264-MeM.mkv;THE WITCHER
The.Witcher.3x05.ITA.ENG.1080p.NF.WEB-DLMux-MeM.mkv;THE WITCHER
The.Witcher.3x04.ITA.ENG.720p.NF.WEB-DLMux.x264-MeM.mkv;THE WITCHER
La.Casa.Di.Carta.5x10.FINAL.ITA.ENG.1080p.NF.WEB-DLMux.x264-BlackBit.mkv;MONEY HEIST
La.Casa.Di.Carta.5x09.ITA.ENG.720p.NF.WEB-DLMux-BlackBit.mkv;MONEY HEIST
La.Casa.Di.Carta.5x08.ITA.ENG.1080p.NF.WEB-DLMux.x264-BlackBit.mkv;MONEY HEIST
La.Casa.Di.Carta.5x07.ITA.ENG.1080p.NF.WEB-DLMux-BlackBit.mkv;MONEY HEIST
Money.Heist.S05E06.ITA.ENG.720p.NF.WEB-DLMux.x264-BlackBit.mkv;MONEY HEIST
The.Mandalorian.3x08.ITA.ENG.1080p.DSNP.WEB-DLMux.x264-NovaRip.mkv;THE MANDALORIAN
The.Mandalorian.3x07.ITA.ENG.720p.DSNP.WEB-DLMux-NovaRip.mkv;THE MANDALORIAN
The.Mandalorian.3x06.ITA.ENG.1080p.DSNP.WEB-DLMux.x264-NovaRip.mkv;THE MANDALORIAN
The.Mandalorian.3x05.ITA.ENG.1080p.DSNP.WEB-DLMux-NovaRip.mkv;THE MANDALORIAN
The.Mandalorian.3x04.ITA.ENG.720p.DSNP.WEB-DLMux.x264-NovaRip.mkv;THE MANDALORIAN
Naruto.Shippuden.500.FINAL.Sub.ITA.720p.WEB-DLMux-UBi.mkv;NARUTO SHIPPUDEN
Naruto.Shippuden.499.Sub.ITA.1080p.WEB-DLMux.x264-UBi.mkv;NARUTO SHIPPUDEN
Naruto.Shippuden.498.Sub.ITA.720p.WEB-DLMux-UBi.mkv;NARUTO SHIPPUDEN
Naruto.Shippuden.497.Sub.ITA.1080p.WEB-DLMux.x264-UBi.mkv;NARUTO SHIPPUDEN
Naruto.Shippuden.496.Sub.ITA.720p.WEB-DLMux-UBi.mkv;NARUTO SHIPPUDEN
Better.Call.Saul.6x13.FINAL.ITA.1080p.WEB-DLMux.x264-BlackBit.mkv;BETTER CALL SAUL
Better.Call.Saul.6x12.ITA.720p.WEB-DLMux-BlackBit.mkv;BETTER CALL SAUL
Better.Call.Saul.6x11.ITA.1080p.WEB-DLMux.x264-BlackBit.mkv;BETTER CALL SAUL
Better.Call.Saul.6x10.ITA.1080p.WEB-DLMux-BlackBit.mkv;BETTER CALL SAUL
Better.Call.Saul.6x09.ITA.720p.WEB-DLMux.x264-BlackBit.mkv;BETTER CALL SAUL
Demon.Slayer.3x11.Sub.ITA.1080p.WEB-DLMux.x264-UBi.mkv;DEMON SLAYER
Demon.Slayer.3x10.Sub.ITA.720p.WEB-DLMux-UBi.mkv;DEMON SLAYER
Demon.Slayer.3x09.Sub.ITA.1080p.WEB-DLMux.x264-UBi.mkv;DEMON SLAYER
Demon.Slayer.3x08.Sub.ITA.1080p.WEB-DLMux-UBi.mkv;DEMON SLAYER
Demon.Slayer.3x07.Sub.ITA.720p.WEB-DLMux.x264-UBi.mkv;DEMON SLAYER
Westworld.4x08.FINAL.ITA.ENG.1080p.HBO.WEB-DLMux.x264-BlackBit.mkv;WESTWORLD
Westworld.4x07.ITA.ENG.720p.HBO.WEB-DLMux-BlackBit.mkv;WESTWORLD
Westworld.4x06.ITA.ENG.1080p.HBO.WEB-DLMux.x264-BlackBit.mkv;WESTWORLD
Westworld.4x05.ITA.ENG.1080p.HBO.WEB-DLMux-BlackBit.mkv;WESTWORLD
Westworld.4x04.ITA.ENG.720p.HBO.WEB-DLMux.x264-BlackBit.mkv;WESTWORLD
The.Crown.5x10.ITA.ENG.1080p.NF.WEB-DLMux.x264-MeM.mkv;THE CROWN
The.Crown.5x09.ITA.ENG.720p.NF.WEB-DLMux-MeM.mkv;THE CROWN
The.Crown.5x08.ITA.ENG.1080p.NF.WEB-DLMux.x264-MeM.mkv;THE CROWN
The.Crown.5x07.ITA.ENG.1080p.NF.WEB-DLMux-MeM.mkv;THE CROWN
The.Crown.5x06.ITA.ENG.720p.NF.WEB-DLMux.x264-MeM.mkv;THE CROWN
The.Umbrella.Academy.3x10.ITA.ENG.1080p.NF.WEB-DLMux.x264-BlackBit.mkv;THE UMBRELLA ACADEMY
The.Umbrella.Academy.3x09.ITA.ENG.720p.NF.WEB-DLMux-BlackBit.mkv;THE UMBRELLA ACADEMY
The.Umbrella.Academy.3x08.ITA.ENG.1080p.NF.WEB-DLMux.x264-BlackBit.mkv;THE UMBRELLA ACADEMY
The.Umbrella.Academy.3x07.ITA.ENG.1080p.NF.WEB-DLMux-BlackBit.mkv;THE UMBRELLA ACADEMY
The.Umbrella.Academy.3x06.ITA.ENG.720p.NF.WEB-DLMux.x264-BlackBit.mkv;THE UMBRELLA ACADEMY
Lucifer.6x10.FINAL.ITA.ENG.1080p.NF.WEB-DLMux.x264-MeM.mkv;LUCIFER
Lucifer.6x09.ITA.ENG.720p.NF.WEB-DLMux-MeM.mkv;LUCIFER
Lucifer.6x08.ITA.ENG.1080p.NF.WEB-DLMux.x264-MeM.mkv;LUCIFER
Lucifer.6x07.ITA.ENG.1080p.NF.WEB-DLMux-MeM.mkv;LUCIFER
Lucifer.6x06.ITA.ENG.720p.NF.WEB-DLMux.x264-MeM.mkv;LUCIFER
The.Flash.9x13.FINAL.ITA.ENG.1080p.WEB-DLMux.x264-BlackBit.mkv;THE FLASH
The.Flash.9x12.ITA.ENG.720p.WEB-DLMux-BlackBit.mkv;THE FLASH
The.Flash.9x11.ITA.ENG.1080p.WEB-DLMux.x264-BlackBit.mkv;THE FLASH
The.Flash.9x10.ITA.ENG.1080p.WEB-DLMux-BlackBit.mkv;THE FLASH
The.Flash.9x09.ITA.ENG.720p.WEB-DLMux.x264-BlackBit.mkv;THE FLASH
Arrow.8x10.FINAL.ITA.ENG.1080p.WEB-DLMux.x264-BlackBit.mkv;ARROW
Arrow.8x09.ITA.ENG.720p.WEB-DLMux-BlackBit.mkv;ARROW
Arrow.8x08.ITA.ENG.1080p.WEB-DLMux.x264-BlackBit.mkv;ARROW
Arrow.8x07.ITA.ENG.1080p.WEB-DLMux-BlackBit.mkv;ARROW
Arrow.8x06.ITA.ENG.720p.WEB-DLMux.x264-BlackBit.mkv;ARROW
